text,likes,retweets,sad,depression
"today is a sad day in our household. we are officially OUT of Peanut Butter Chex. without question the best cereal on the market. why is it so hard to find!? we went 2 straight grocery trips finding it and were living the life. but, it's over. back to a @ChexCereal-less slump.",2,0,0,0
"The joke was crass, but the slap shouldn’t have happened. That’s some ghetto stuff right there… worse has been said about many people &amp; you don’t see them running around slapping everyone becsuse “I feel sad you made fun of me”… that’s just unstable and Will needs help. https://t.co/adTfXrJAI1",0,0,0,0
@J_CR7PP6 Sad relationship man,1,0,0,0
"@vanguardngrnews I can cure Diabetes in less than two weeks,drugs or pills remedies will only reduce the level of sugar in ur blood,my Herbal mixture will cure it and u will be able to eat any kind of food u want,I'm always sad,if I hear someone die of Diabetes,while I can cure it,DM 4 more info.",0,0,0,0
Motivational quotes are for sad people,0,0,0,0
@jaden Your father was my childhood hero! Sad to see one’s hero broken down like this.,0,0,0,0
"I know that you only do things to kind of distract yourself from how deeply sad you are that your dad is gone, I get that.",0,0,0,0
"So sad that she passed and her parting words were hatred.

Hatred for me, my children, my friends... Hatred that I care about socialising my toddlers, that I need to put food on the table, and that my body is mine.

How did she get so radicalized? https://t.co/fFqY8L2BLW",1,0,0,0
"--(con't)Basically my brain is now back to making every fuck-up a reason to hang up this life and pack it in.  Not in a way that would lead to action, but it is still intense, and total contrast to my depression recovery journey, where I found reasons to LIVE every day, not die.",1,0,0,1
"@rachelr1977 I used to like them to see the fashion and the happy wins, good jokes from the hosts &amp; thankful speeches. But now its just a roast &amp; about politics. It’s sad. What Will Smith did was just shocking to my core being a victim of violence myself.",0,0,0,0
So fucking sad,2,0,0,0
"Aaaahhhh this is so sad but still congrats for your comeback bestie!

$17,000

https://t.co/nPSgxq6wqB",0,0,0,0
"--Depression &amp; Mood.  !!CW STARTS HERE: mental illness, suicidal thoughts!!  My depression has gone way WAY up and habits I used to cope with it YEARS ago pre-treatment have come back again.  Things like impulsively saying out loud to kill myself if I make/remember a mistake.",1,0,0,1
@MarajhJael Really sad...,0,0,0,0
@USPS Yet my package has been delayed for over a month… sad case! Smh,0,0,0,0
@AdonisSantana_ I am sitting in my plant room rn about to do some breath work. Cant be starting the week sad.,1,0,0,0
Kinda sad it’s not gonna be hot n sunny this week🙃,1,0,0,0
I'm about to draw sad shit cause I'm pissed right now if I post angst you all know why- seriously fuck this class,8,0,0,0
"@M_A_Frasca It was much the same for me. Another nightmare combo is stumbling over □ight. Night, fight, right, light, might, sight, tight. Pure luck getting THAT one.
This one could have been b, f, h, m, p, r, s, w. If seven, z□□□□s. I felt like I'd taken a psych test and scored ""sad"".",1,0,0,0
"The lack of Awoofy merch makes me sad.
@NintendoAmerica #Kirby #KirbyandtheForgottenLand",0,0,0,0
"Physical violence has now invaded The Oscars, sad time in Film history. https://t.co/ByuQhlj196",0,1,0,0
"@NeilPHauer ""Holidays in Hell"" lose another destination. How sad.",3,0,0,0
"@KathleenC1977 @Caramelicedtea Not about being sad about her,I dislike her just as much for that+other stuff but that joke crossed the line,there are many other people with the same illness,having empathy for what Will said/felt &amp; it was about Rock being taught a lesson about disrespect including with Michael",5,1,0,0
"@btslyricarchive im so sad this is happening to you, i enjoyed your content and its helpful for lots of ppl, pls take care yourself first !!",1,0,0,0
@zacmanning1 @NILES100 God this is geinuely sad,10,0,0,0
@puppy_wov Sad I like to play and comb it,0,0,0,0
"@jwalkermobile I don’t approve of many of the personal jokes that are made at these events, it can border on adult, public bullying. But physical response is never appropriate. What a sad situation.",3,0,0,0
"“Tell me how you’re feeling”
“Uh… sad.”
“Why?”
“‘Cause I lost my friends, and all my stuff, and my server… and you… and my lives.”",2,0,0,0
"opened @calum5sos profile and i did not see the ""follows you"" and now im sad",4,1,0,0
"@CyndaProp Unboxed copies are a little bit better, but yeah it be a sad day when the 3ds eShop closes and there be no legal way to get the original games without paying very high used prices.",0,0,0,0
This sad comments section could have been avoided. https://t.co/cDM1I5XYqs,0,0,0,0
post concert depression is real,1,0,0,1
"@GicAriana City will be rebuild with russian sanctions , the sad part is who died cant be reborn.",2,0,0,0
Yoshon crying like that made me sad to 😭😭😭😭😭 and he was not playing .,1,0,0,0
@RealWillSmithFP @jadapsmith and snapped out of anger of frustration due to having no control of your marriage. Sad man. All that success and money can’t fix your rage and pathetic violence tendencies.,0,0,0,0
"pokemon breads that yang jeongin wants to eat but couldn't find:

""i want to eat pokemon bread too so i looked but i was sad bc there wasn't a lot.... where do i go to find a lot???ㅋㅋㅋㅋ""
""i look like jigglypuff...? no jigglypuff is too cute i'm not cute to that level ㅎㅎㅎ"" https://t.co/XPAou97kc0",1474,262,0,0
"Sad, AOT eps 27",0,0,0,0
@MicroFlashFic This is so goddamn sad.,0,0,0,0
"@vanguardngrnews I can cure Diabetes in less than two weeks,drugs or pills remedies will only reduce the level of sugar in ur blood,my Herbal mixture will cure it and u will be able to eat any kind of food u want,I'm always sad,if I hear someone die of Diabetes,while I can cure it,DM 4 more info.",0,0,0,0
"@cpt_depression_ Woah, showing your age with the Morrowind reference. Great game 👌",2,0,0,1
Honestly it's not even surprising the way the world is that everyone thinks assault is okay this is so sad sometimes I really just hate human kind at together cause honestly everyone makes me disgusted right now,1,0,0,0
"I'm sad to say I've decided to quit the group I joined after only 2 shows!! 
I enjoyed them &amp; am so glad Richie finally got to hear me sing classical music!! But I was treated poorly &amp; I won't allow that!!💜
@JeffWQXR @FriseSally @RachPodger
@CullivanPeter
https://t.co/xn1Mt4XvI4",2,0,0,0
having post concert depression 😂😂 I wanna watch CARATLAND AGAIN !!!! 😭😭😭😭,0,0,0,1
@RonFilipkowski A sad reality in our nation. I’m sorry.,0,0,0,0
"@KinkInTheNeck @MollyJongFast It's so sad what's going on there in Ukraine. I think about them. No food, no water😪
But about that lady who went mental. She's in the hospital I work at as we tweet. People are losing their grip. 
I hope America doesn't whined up like Russia",0,0,0,0
@marumaivili so depression in a game makes its debut again tomorrow,0,0,0,1
SO TRUE! IT  is REALLY SAD that People take his words- which were CLEARLY MEANT WITH GOOD and KIND INTENTIONS- and question and contort them into a UNHELPFUL  manner. President Biden is doing a GREAT jon with the Ukranian crises- ALL the MAJOR Generals have given him Thumbs up! https://t.co/RaH1LUiULl,9,3,0,0
"@chilopawbi Well thats good to hear i guess, im kinda sad I missed whatever character stuff happened in the events tho, like I could just look it up but im too lazy lol",1,0,0,0
Woke up  and the Celtics number 1 spot in the east idk if I’m happy or sad lmao,1,0,0,0
Sometimes your internet friends (or just ppl on the internet you talk to/hype frequently) stop posting and you find out it’s bc they passed and it’s the weirdest feeling… like I’m sad but i barely even knew this person 🙃🙃,3,0,0,0
today is a sad day,1,1,0,0
@1benitofan this makes me sad,0,0,0,0
And now I’m unfollowing this page. Sad how much this page has changed into negativity/bashing on other comic films. What’s the point? Support artists &amp; THEIR creations. You think the Batman is failing?… at least that will get a sequel in the future…. can’t say the same for ZSJL https://t.co/HAypukPSKt,4,0,0,0
"Transcranial magnetic stimulation (TMS) is covered by most insurance plans. It is a non-invasive procedure and utilizes magnetic fields to invigorate nerve cells in the brain, lessening #depression symptoms.

Contact our office today at 856.350.5555 for a FREE Consultation! https://t.co/zTXgtxuj7e",0,0,0,1
"@MbuyiseniNdlozi no one has the right to dictate how one should react to a situation... Let's have respect for each other, that will solve everything. Btw, Emotional abuse is more painful than physical... Depression is real... People kill themselves cuz they're wounded emotionally, not slaps.",0,0,0,1
"@meagankenrekt I listened to Final Cut on a long car ride the other day because I embrace depression, apparently.",0,0,0,1
now m sad,0,0,0,0
Just took a L trying to get these....now I'm sad https://t.co/c6oyh3YA9X,0,0,0,0
"I’m funny asf, even depression agrees. Lol. Glad I got myself. :)",1,0,0,1
"she says the mild ocd is a minor but doesn’t know about the bpd, depression, anxiety, ptsd, anorexia, body dysmorphia and autism yet 😶",0,0,0,1
"@CoachESully Well, that’s sad. Thoughts &amp; prayers to his friends &amp; family. I too grew up watching that man do his thing. He certainly was always able to get the crowd into it.",1,0,0,0
@babyt_green It’s really sad fr lol,1,0,0,0
It just shows how sad of a person Will Smith is 😂 https://t.co/2FOGZApjVw,0,0,0,0
@hyynn65 so sad i think korean mad at yiren,1,0,0,0
I'm fucking sad wth,0,0,0,0
"Ohio State football player Harry Miller recently retired, opening up in a viral video on the @TODAYshow about his depression &amp; the mental health struggles of athletes. As our friend Dr. Congeni explains, this is a topic we should all be discussing https://t.co/1uI9zIxU9s",0,0,0,1
"A quick crash course on the types of depression 📕#mentalhealth #mooddisorder #mentalhealthawareness #depression #defeatdepression 
https://t.co/YjzkxsMBdP",1,0,0,1
@EndNightGame I’m sad now,0,0,0,0
"""Tips for Dealing with Depression"" https://t.co/oOCb7sZcIe  My Story of Major Depressive Disorder &amp; more than 50 posts to help #EndTheStigma and #StopSuicide Also Podcasting at https://t.co/XMyYSdQqqS with more than 86,000 downloads and over 100 episodes published! Pls Retweet!",0,0,0,1
I’m so sad rnnnn,0,0,0,0
@somejawn401 @KFCBarstool People who say it’s not cancer so don’t make a big deal about it are the worst. People are allowed to get sad/angry about diseases that aren’t cancer. Not everything should be looked at through the lens of is it cancer or not. I just googled alopecia &amp; it’s an autoimmune disease. https://t.co/VgoW9CuFnQ,1,0,0,0
"@Busyy_fingers I can cure Diabetes in less than two weeks,drugs or pills remedies will only reduce the level of sugar in ur blood,my Herbal mixture will cure it and u will be able to eat any kind of food u want,I'm always sad,if I hear someone die of Diabetes,while I can cure it,DM 4 more info.",7,0,0,0
@JasonManford Don't know specifically what you are aiming this comment at Jason - I can think of at least four 'news stories' - we are screwed or someone is sadly exposing the truth about how the world works .... picking whatever makes you more disappointed is the sad story of how we live :-(,0,0,0,0
"damn it's bad for yall huh? can't see husbands having a nice stroll through the airport together on their way to boraify las vegas when it's right in front of u,, so sad ill pray for u fr 😔😔 https://t.co/RPEV8RgAbh",5,0,0,0
@comme_d_garcon Sad but it’s not the MBTA fault this time LOL,0,0,0,0
@mostlyylame Ahh sad,0,0,0,0
im so sad will we ever see haesoo at award shows or ceremonies :(,0,0,0,0
@Benazir_Shah You look sad and disappointed!,2,0,0,0
"@michaelrosenbum @chrisrock Precisely. Jada handled the joke herself by rolling her eyes and letting it go. Jada is too much of a badass to need anyone to stick up for her.  Instead of talking about his win, we're talking about his shitty behavior...sad.",0,0,0,0
@RogerClemons9 @AgathaChocolats That’s sad,0,0,0,0
"@notziora Always talking about racism, even when that's not the point. Sad...",0,0,0,0
"IN 💭 - 🌱
[280322] 11:15 PM KST

Ah right

I wanted to eat Pokémon bread too so

I looked around for it

But there isn’t much so I’m sad….",383,13,0,0
"@TheAcademy @TheInSneider @willsmith talked about protecting the people he love. You can protect the people you love without sorting to physical assault. He just ruined the whole telecast. Worst, his speech is full of BS. So sad that we are discussing the Oscars for the wrong reasons. Yuck 🤮",1,0,0,0
@LIFEasTESHA_ Man!!! Nobody could get it together to even call for help or even check to see if one of them still had a pulse or nothing. So sad.,0,0,0,0
"Almost the opposite of today's ""discourse"": I really love that, 2 great LPs in, Damon Locks' incredible Black Monument Ensemble is yet to play NYC or LA, following own path to their preferred destination. Sad I haven't seen em yet, but loudly salute the vision + individuality.",8,1,0,0
@ftig77 @TheAcademy It’s what we do best in Hollywood…. Reward bad behavior! Very sad day.,1,0,0,0
"You might have Binge Eating Disorder (BED) if you eat 
- more rapidly than normal 
- until you feel uncomfortable 
- large amounts of food even when you’re not hungry 
- till you feel disgusted or nauseated.
Depression, chronic low self esteem and anxiety/stress are usual causes.",31,18,0,1
"@MaddockMirror Yeah, I see a lot of parallels with the Fowler situation. World Cup looming, falling out of favour at his boyhood club, a player who was probably played far too much at a young age... it's sad we haven't learned the lessons. Fowler, Owen, Walcott - hope Marcus bucks the trend.",1,0,0,0
"@TeamWillDaily congrats idol.
It's sad what happened. but act like a man is right. Wishing you and your family this joy.",0,0,0,0
I'm very sad for people who don't want to express how sad and what he loves for my friends you'all so weird look what already happened,0,0,0,0
@stephenasmith @willsmith @chrisrock THIS!!! The “it was staged dummy’s” aren’t taking this into consideration. He ruined his own victory! So sad.,0,0,0,0
@SreeramDeepti Leads to loneliness and depression,1,0,0,1
"@Dasky4fun @Dasky4fun we are sad you are experiencing issues logging in to your account. Kindly send a DM with the error message to enable us to assist you promptly. We look forward to hearing from you.

~P.C",0,0,0,0
@HonestlyaRobot He looks so sad that he's cancelled!,0,0,0,0
was feeling sad af so I got cute for work today 🥰,0,0,0,0
"Aww, I've been blocked. So sad. 😢",4,0,0,0
"@BlackwellJeann1 @WendellPierce I've seen people get beat down while crying, don't mean their sad!",0,0,0,0
"@TheFFGator CODA was phenomenal. I haven’t cried mid movie in years. (Not a brag, I’m actually sad I don’t cry in movies) and it 100% got me. Spectacular film.",26,0,0,0
@LuccianoWay Right…sad,1,0,0,0
@KarlousM @BenjaminPDixon Should he be proud lol that’s sad. Hopefully not what y’all want representing y’all,0,0,0,0
I'm so bored and sad and angry and exhausted all at the same time. What do I do??,4,0,0,0
"this generation is ""if you think differently you are exactly what I assume"" Jesus it’s sad",0,0,0,0
@Waleezyy bitches be idiots bro but yea ts sad,1,0,0,0
"@imcfcurves Heell naaaa that was fake af, he only smacked him cuz she got sad otherwise he was laughin",0,0,0,0
"I get why I was jittery and anxious for no reason last night, but the unexpected bout of unexplained depression this morning has me flummoxed.",2,0,0,1
@kdkdoteth @Loopifyyy Yeah he probably still sad he didn't sell as much as he wanted to at around $4800+,6,0,0,0
im so sad https://t.co/VEfFYxebjs,1,0,0,0
"@ifra_07 Yeh bhi hai sad loife
BEWAFAI CROSSED 80M VIEWS",0,5,0,0
"@LeonJustinoPT Aira Guarin – Alumni: Something that caught my attention was the people wearing a mask. I feel so sad for this art, there are a lot of devastating effects of this virus such as hunger, unemployment, and financial difficulties that people are currently facing.",0,0,0,0
@FoxNews @dbongino The problem is they just don’t care. They don’t care about the people of New York. It’s sad but that’s the way it is...,0,0,0,0
"@mbk_center #Putin has so few generals left that he made this sad clown General

The war is really going according to the plan 😂",0,0,0,0
These Niggas Be Going Out Super Sad Yo 😭😭😭 . .,0,0,0,0
@_ticaaa_ Smh very sad https://t.co/rNcp6iKgK7,1,0,0,0
"@RAbdiAnalyst Unbelievable, sad sad sad",0,0,0,0
@B_Chyqa Sad and pathetic,12,1,0,0
@WajahatAli Amazingly sad,0,0,0,0
"I am sad to hear about the passing of one of the heroines we celebrated this month. Grace Alele Williams was a pioneer, and her legacy will continue to inspire Nigerians, regardless of gender. 
May she Rest in Peace.

-Dame Pauline K. Tallen OFR, KSG https://t.co/mjlmqf5dmV",3,2,0,0
@sanapvmu It's indeed sad. A lot of tearjerkers on the few last episodes. Luckily the filming went smoothly!,0,0,0,0
@FabrizioRomano I am tired of United so sad I can’t stop supporting the club Luke Shaw should be sold,0,0,0,0
I’m kind of sad that my baby won’t be home when I get there. She’s about to be gone for a wholeee week🥺,0,0,0,0
I'm happy for him but also sad because int fans can't see it but also im not surprised considering is Japan https://t.co/Tbt9EYMLrz,1,0,0,0
@odukoyaisaac @Qdpaper2 @DOlusegun @BayoAdedosu @akomscopy @Otunba_Lushegx @NinoRoyals @Fattylincornn @abikieade @Mr_JAGs We know that you’re sad that the issue was not allowed to spiral out of control. You’re not after the interests of @DOlusegun but all you want is for it to degenerate to yam pepper scatter scatter. The young man is wiser than you lots.,6,2,0,0
@ABradley5 Agreed! But after watching Will's acceptance speech I have begun to wonder if there isn't more to the story... in respect his relationship with Jada. The incident is sad nevertheless.,0,0,0,0
"wala na sad na ako everyday, every night, every looking at the sky🥺🥺🥺🥺🥺🥺",4,1,0,0
mondays won't be the same anymore im so sad,0,0,0,0
"idk how a whole year went by so fast without you but I've been doing fine. i still wonder about you sometimes, but unlike months ago, i smile now with thoughts of you.",0,0,0,0
"ain’t no religious but it is so beautiful, yet kinda sad how God will always forgive u even if it is something u can’t forgive yourself for",4,0,0,0
@its_BhushanSona Very very sad 🙁,0,0,0,0
@frogs4reid so sad :(,1,0,0,0
"@vanguardngrnews I can cure Diabetes in less than two weeks,drugs or pills remedies will only reduce the level of sugar in ur blood,my Herbal mixture will cure it and u will be able to eat any kind of food u want,I'm always sad,if I hear someone die of Diabetes,while I can cure it,DM 4 more info.",0,0,0,0
"@KwikWarren Two wrongs do not make a right, I think there is more to the story between those two men, sad to see someone lose control like that. Immature acts by both men. Sad to see 😐",1,1,0,0
@Iamdepr47974144 When did you begin feeling like this? #mentalhealth #depression,1,0,0,1
"@Oluwa_flamez See, what I said, even though you know that sniffing and shooting are bad for your health, you continue to partake. So very sad, I am beginning to feel sorry for you.",0,0,0,0
@AishaAdventures @DPMCanty Sad fruit water.,2,0,0,0
@wsvn Why was he allowed on there? They are saying he was denied access to other rides due to his size. Was there size restrictions posted that were ignored?  So sad.,0,0,0,0
"Dear @carlsberg and @Heineken , thank you for making your difficult decision regarding your Russian operations. It is sad and painful, but it is right. I hope you will return one day.",0,0,0,0
"@moonjackiemokn @CalgaryDad @JimMacLachlan So sad the conservatards are such bad losers , but losers just the same . lol",0,0,0,0
What I’d depression is the body’s way of telling the mind that it’s not pursuing the right things?,18,2,0,1
"@djhardrich I probably would.

People who aren't nihlists seem to view nihlism as akin to depression or psychopathy, but it's not... it's just looking at the world different.  I'm perfectly satisfied with my life despite that I believe all life has no purpose/meaning. 🤷‍♂️",0,0,0,1
@MoveTheWorldUS That's so sad 😟 humans are destroying all beautiful life on earth 🌎  🌳 😥,0,0,0,0
"@SheaBallard Many of them tend to be paragraphs long, but some (like Radumo) have sections.

Radumo, a scientist girl, has a sad childhood where her parents forced her to overwork, until they felt sorry for what they had done to their daughter and her runaway brother.",1,0,0,0
Fuckin missed you. Was so sad a month or two ago when I searched your name and the account was no where to be found. https://t.co/Wh9CwZ6aNW,3,0,0,0
@wakefieldreport Very sad you missed castaway. That alone is a good enough reason to go back on Disney. Its the prettiest private island in the Bahamas. Enjoy your time in Orlando!,2,0,0,0
@lilvicxo @humb1ed_ He also did the second Chance act for newly released prisoners as well as Signing executive order for criminal Justice reform. What is sad is most of the states governors fought those  executive orders he signed because of the private prison industry.,138,7,0,0
"What you think directly affects your life,so thinking should be positive. Positive thinking always leads to success, its power helps in life struggles by managing stress whereas negative thinking always leads to depression and failure.
#MondayMotivation St Gurmeet Ram Rahim ji https://t.co/KrHOYF1GrP",5,8,0,1
@yavmontenegro While I might be cautiously supportive of some of these efforts I certainly don't think it should be impossible to believe that we could live in a world with multiple imperialist poles. It's sad to see this from you honestly.,0,0,0,0
@stephenasmith @willsmith @TheRock @chrisrock All staged and fake to keep their names in the public and get attention. So sad.,0,0,0,0
"Haha im confused, who more cares for me? My irl friends or my best friends on internet? Like....My best friends is more understand me but when im sad they just silent they didn't say or tell me ""hey what's wrong? Are you ok? What happen?"" Etc, Sometimes my irl friends said that.",0,0,0,0
"UKRAINAN NIGHTS - A young reporter battles depression &amp; obsessive love - Buy it now! ➡ https://t.co/2S0AiBq2Cm https://t.co/RXkwT49vZ0 (Recommended by Calumet Editions)
*;",0,0,0,1
"I am a little sad Faust didn't get to go on this cursed event. There were a lot of curses involved that were used in ways that were somewhat helpful, or could be manipulated into ways that are helpful. I really think this is a knowledge route I'd LOVE to see Faust take.",0,0,0,0
@_daisylili It's sad :((,1,0,0,0
"@vanguardngrnews I can cure Diabetes in less than two weeks,drugs or pills remedies will only reduce the level of sugar in ur blood,my Herbal mixture will cure it and u will be able to eat any kind of food u want,I'm always sad,if I hear someone die of Diabetes,while I can cure it,DM 4 more info.",0,0,0,0
@altonbrown Sad to hear this. Chris Rock is a comedian hired to roast actors. Will Smith can get angry or be annoyed but he can’t hit the man. It was quite Trumpy of him.,2,0,0,0
"Ghhh :c Which, sucks I'm so don’t gotta eat, especially gay stories with ppl say that the living cat is so sad they just rot inside her writing",0,0,0,0
"@nashvan It's sad that they do nothing to help. 
Well I'm glad we've an option. Just DM Brian_Coding when you have the chance",0,0,0,0
They would have arrested will . But since Chris rock is black they think Chris rock doesn’t deserve any type of respect  . Sad https://t.co/SYrRRlfVN6,1,0,0,0
@KellDA That’s the sad part. I feel the same way. And I felt really bad for the Williams.,3,0,0,0
"Miipan talked about Hiyotan in her newest blog 🥺 it's sad they won't appear on the stage together but her words are encouraging, their relationship is so sweet. Hope it won't be too long before another chance like this come for the group",0,0,0,0
"@PrzydatekEdward @andyandrist @shane_mauss @DougStanhope @marknorm yeah for sure... but, Also a sign of more cancel culture Antifa Marxist shit. News/commentary/infomercial with commercials have to Blame @rustyrockets @joerogan #comics #freedom They are sad to know we are smarter than they think. News is as valuable as a turd without a flush. https://t.co/poaz7Q5vk9",0,0,0,0
"The life of prophet yusuf alayhi salam teaches us
-the closest of people can betray you
-broken hearts can be healed through love
-ease comes after hardship 
-being sad doesn’t equal being ungrateful 
-those who trust the plan of Allah will win ❤️",0,0,0,0
"@CMCRET @shomaristone @_DanMangan @CNBC Amen. It seems as if they only poll the people who are anti Biden. When did Americans disingenuous?
When did the American economy perform at the current level where they have jobs and no takers. President Biden can't catch a break. So so sad",0,0,0,0
Really sad; so called out,0,0,0,0
TBH idt the sad emo girl vibe is really my thing??,3,0,0,0
"@TheFreds You are sad attention-seeking, opportunistic trolls. Nothing stops you when it comes to getting clicks, not even putting lives at risk/potentially killing others by jumping on the antivaxx bandwagon, so this is a new low obviously, but boring, predictable, and hardly surprising.",2,0,0,0
@HakunaMatata26C How sad Palestinians Syrians Iraqis Yemenisepeople also suffer but no media outcry,0,0,0,0
"@omarmahmoodhay1 @LION__HUNTER She is a,sad pathetic joke and a devilish woman",0,0,0,0
"#SCOTUS to review CA pig care law. Save the pigs, kill all the babies you want in CA though! What a sad, sick society this has become!! 😢",0,0,0,0
@JaiOb_Lillz She looks sad,0,0,0,0
@lisa63williams @BuzzFeed Sad. That isn't how a man acts.,0,0,0,0
@Marianopoulos1 @RSzator @nexta_tv but i want to tell you that i really love poland. it makes me sad to see all these critics from poland about my country. and what is doing poland for refugees is wonderful. what generous are poles,2,0,0,0
"Ima do a “movies I’ve forgotten about from my childhood” week here. 

Today we are starting with - Alaska. 

A story of 2 kids who adventure to find their missing dad &amp;…befriend a polar bear? 🤣

I’m sad this isn’t on any streaming site.

I kinda wanna research it.. https://t.co/7jDXtwcUiK",4,1,0,0
@Revanth_Goud8 Sad truth 😔,1,0,0,0
"@CplPunishment_ What's a ""black emotion""? Does she hang out with a lot of really sad people or something?",2,0,0,0
"... sad and frustrated that I don't really feel like I can respond to this request for feedback, because I don't have the time and background knowledge to make sense of this document enough to say anything very helpful or meaningful. :-/",1,0,0,0
"''Haha... You know, taking shelter from the rain like this, reminds me of my entire life, that's been nothing but me trying to run away from my loneliness and fears. What a sad life it's been...''",0,0,0,0
It’s been a very tough time for @ECB_cricket batsmen! Really sad considering their history of many world class 🏴󠁧󠁢󠁥󠁮󠁧󠁿 batsmen over the years! There’re a few very simple reasons for this situation - it’s not happening just in the UK 🇬🇧 - and it is solvable…🧐🏏 #KISS #EngvsWi https://t.co/lg67e0U57p,0,0,0,0
"Heartbreaking news. 💔 The entire community feels for you. 

You gave it your all and more than earned the spot. So sad that the #VCTEMEA CHAMPIONS will not be competing at the #VALORANTMasters.

Guys, you'll for sure bounce back and prove your place once again. #FPXWIN https://t.co/cCKy8fcib1",28,1,0,0
"none of my moots talk to me anymore, this is so sad 😢",1,0,0,0
@ryskantny Gerygany sad,0,0,0,0
@Sad_heina Cyberpunk dystopian love story vibes,1,0,0,0
"@emaxstatman @FabrizioRomano Sad, i liked more the version where they kicked his ass out of the team",0,0,0,0
"We are very sad to welcome new $WORM recruits to the Rugnation Army!
https://t.co/jSVYBfn174
https://t.co/S7gj2XrUaE https://t.co/PlJHoULqZX",0,0,0,0
@hooria_hamid People aren't born sad; we make them this way~,0,0,0,0
"@shields_rex @eddsmitty @Tam_Resist @INTLmischief @Shaken0Stirred @dmwasleske @BurrdDoh @kimmyifuplease @GangstaMimi @CirclesSpinning @JerryCann1 @Jaxzon2008 @zazzybritches @donnak831 @EverAre4 @small1ldy1 @fab4screamie @HondoResists @mama_hipster @SelfImposedXile @co_rapunzel4 @TappyPaws @WestonJK @Gems4Kimber @KierstenWarren @MLedaloo @Lissthesassy @LuciaRendn4 @RedloraineV @RedHairnBlkLthr @caliga3456 @GhostOfLuv3 @MajorFactor2 @sugar1420 @NReveillee @Malibujammin @smh_lori @NashvilleDeeDee @VABlueBelle18 @nancymhet @JDNEngland @kathryndennison @CarlyJA22 @CMikeSF @ivyjofreeman @SquadThen @Back_dafucup @Theon_Orbis @CanuckCognizant @showgirlcf Say it no reason to hide it on Twitter - we all may enlightened by this . It’s a very sad thing for all of them . If you could put a better spin on it , it could help many ppl who are feeling uncomfortable about what they saw .",7,0,0,0
Sad this tweet is so ignorant but of course coming from you. https://t.co/PTyZ59lw8T,0,0,0,0
G extremely sad. Then when she shot herself and the family’s reaction when they realized what happened. 😢😢😢 https://t.co/sb9ZhYxO54,1,0,0,0
"@selfstyledsiren She has a soft spot for her fading idols. Her concert with Tony Bennett, who has Alzheimer’s, was very special. It made me sad to see Liza so greatly diminished. It was a weird end to a weird night.",1,1,0,0
Im fr so sad and not able to move on what is thisss https://t.co/Cw2SXxVl3z,1,0,0,0
@xixvodka @Sidemen I still can’t get it cause it can’t be delivered to Australia apparently big sad,1,1,0,0
LMAO I think it’s sad when people deliberately have babies in the world we live in today. So 🤷‍♂️ https://t.co/BmToa1zE78,1,0,0,0
im so sad i wanna go back to last night,4,0,0,0
@FoxNews Just can't get over President Trump. So sad!,0,0,0,0
